2025-12-16 12:13:32,350-DEBUG-root-28928::webapp_internal::close_coin_screen|1424:: Closing coin screen!
2025-12-16 12:13:32,431-INFO-root-28928::webapp_internal::set_log_info|1623:: Getting log info
2025-12-16 12:13:32,431-INFO-root-28928::webapp_internal::SetLateralMenu|4184:: Navigating lateral menu: Ajuda > Sobre
2025-12-16 12:13:32,440-DEBUG-root-28928::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 12:13:32,474-DEBUG-root-28928::webapp_internal::wait_element|7653:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:32,632-INFO-root-28928::webapp_internal::SetLateralMenu|4203:: Menu item: "Ajuda"
2025-12-16 12:13:32,632-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:32,702-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:33,085-DEBUG-root-28928::webapp_internal::wait_element_timeout|7726:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:33,382-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:33,434-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:35,735-INFO-root-28928::webapp_internal::SetLateralMenu|4203:: Menu item: "Sobre"
2025-12-16 12:13:35,736-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:35,788-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:36,172-DEBUG-root-28928::webapp_internal::wait_element_timeout|7726:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:36,517-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:36,569-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:39,168-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:39,223-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:39,278-DEBUG-root-28928::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 12:13:39,314-DEBUG-root-28928::webapp_internal::wait_element|7653:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:39,478-INFO-root-28928::webapp_internal::SetButton|4444:: Clicking on Fechar
2025-12-16 12:13:39,479-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:39,534-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:39,703-DEBUG-root-28928::webapp_internal::wait_element_timeout|7726:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:39,767-DEBUG-root-28928::webapp_internal::SetButton|4481:: ***System Info*** Before Clicking on button:Fechar
2025-12-16 12:13:39,767-DEBUG-root-28928::psutil_info::system_info|5:: CPU USAGE: 8.4%
2025-12-16 12:13:39,768-DEBUG-root-28928::psutil_info::system_info|6:: MEMORY USAGE: 86.9%
2025-12-16 12:13:39,768-DEBUG-root-28928::psutil_info::system_info|7:: MEMORY AVAILABLE: 13.12%
2025-12-16 12:13:39,924-DEBUG-root-28928::webapp_internal::wait_element_timeout|7726:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:40,018-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:40,077-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:40,094-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:40,155-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:40,155-DEBUG-root-28928::webapp_internal::send_action|10480:: Trying to send action
2025-12-16 12:13:40,157-DEBUG-root-28928::base::click|192:: Click Type: ClickType.JS
2025-12-16 12:13:41,185-DEBUG-root-28928::webapp_internal::send_action|10522:: send_action method result = True
2025-12-16 12:13:41,185-DEBUG-root-28928::webapp_internal::send_action|10523:: send_action selenium status: False
2025-12-16 12:13:41,185-DEBUG-root-28928::webapp_internal::SetButton|4683:: ***System Info*** After Clicking on button:
2025-12-16 12:13:41,186-DEBUG-root-28928::psutil_info::system_info|5:: CPU USAGE: 6.0%
2025-12-16 12:13:41,186-DEBUG-root-28928::psutil_info::system_info|6:: MEMORY USAGE: 87.0%
2025-12-16 12:13:41,186-DEBUG-root-28928::psutil_info::system_info|7:: MEMORY AVAILABLE: 12.96%
2025-12-16 12:13:41,186-DEBUG-root-28928::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 12:13:41,262-INFO-root-28928::webapp_internal::SetLateralMenu|4184:: Navigating lateral menu: Miscelanea > Spool
2025-12-16 12:13:41,274-DEBUG-root-28928::webapp_internal::wait_element|7623:: Waiting for element
2025-12-16 12:13:41,307-DEBUG-root-28928::webapp_internal::wait_element|7653:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:41,463-INFO-root-28928::webapp_internal::SetLateralMenu|4203:: Menu item: "Miscelanea"
2025-12-16 12:13:41,463-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:41,520-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:41,907-DEBUG-root-28928::webapp_internal::wait_element_timeout|7726:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:42,285-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:42,351-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:44,627-INFO-root-28928::webapp_internal::SetLateralMenu|4203:: Menu item: "Spool"
2025-12-16 12:13:44,627-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:44,717-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:45,897-DEBUG-root-28928::webapp_internal::wait_element_timeout|7726:: Element found! Waiting for element to be displayed.
2025-12-16 12:13:47,137-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:47,224-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:51,237-DEBUG-root-28928::webapp_internal::wait_blocker|2444:: Waiting blocker to continue...
2025-12-16 12:13:51,319-DEBUG-root-28928::webapp_internal::wait_blocker|2469:: Blocker status: False
2025-12-16 12:13:51,409-INFO-root-28928::webapp_internal::WaitShow|4980:: Waiting show text 'Este ambiente utiliza base de Homologação.'...
2025-12-16 12:13:57,020-DEBUG-root-28928::log::checks_empty_line|221:: Checking empty default log info
2025-12-16 12:13:57,021-DEBUG-root-28928::log::generate_log|503:: Json log_data: {'cLogDtExec': '16/12/2025 12:13:57', 'cLogNomUsr': '97137227104', 'cLogNomEst': 'GESIT03', 'cLogProgra': None, 'cLogDtProg': '', 'cLogHrProg': '', 'nLogCtsOk': 1, 'nLogCtsNok': 0, 'nLogCtsSeg': 60.34, 'cLogVersao': '12', 'cLogReleas': '12.1.2410', 'nLogCtsErr': '', 'cLogBancod': 'ORACLE', 'cLogIdenti': '', 'cLogIdExec': '20251216', 'cLogPais': 'BRA', 'cLogTool': 'TIR', 'cLogSequen': '2ee64f', 'nLogCtsTot': 1, 'cLogDtExea': '16/12/2025', 'cLogHrExea': '12:13:57', 'cLogArea': 'Desenvolvimento', 'cLogMnExec': 1.0056666666666667}
2025-12-16 12:13:57,021-INFO-root-28928::log::send_log_with_retries|515:: Saving log locally.
2025-12-16 12:13:57,021-INFO-root-28928::log::save_log_locally|548:: [FwSendLog]: Não foi possível enviar o log após todas as tentativas.
